name,avg_reward_aa,avg_reward_ae
Expected_SARSA_baseline,119.39,167.12
Q_learning_baseline,116.1,168.92
Q_learning_linear_exploration1,102,171
Q_learning_linear_exploration2,114,169
SARSA_baseline,105,177
SARSA_linear_exploration1,116,165
DOUBLE_Q_Learning_baseline,117.78,171.86
DOUBLE_Q_Learning_linear_exploration1,115.49,166.79
Q_learning_linear_exploration3,108.51,174.86
Q_learning_linear_exploration4,107.31,170.39
Q_learning_linear_exploration4,107.77,173.13
Q_learning_linear_exploration5,104.84,174.35
Q_learning_linear_exploration6,111.77,167.36
Q_learning_linear_exploration7,113.67,178.3
Q_learning_linear_exploration8,114.95,164.83
Q_learning_linear_exploration9,116.87,172.79
Q_learning_linear_exploration10,116.31,168.94
Q_learning_linear_exploration11,111.02,158.55
DOUBLE_Q_Learning_linear_exploration2,116.24,179.0
SARSA_linear_exploration1,118.59,170.64
Expected_SARSA_linear_exploration2,117.8,169.6
SARSA_linear_exploration3,117.39,165.09
Expected_SARSA_linear_exploration2,118.24,162.3
Q_learning_linear_exploration12,117.91,172.64
Q_learning_linear_exploration13,116.62,176.88
DOUBLE_Q_Learning_linear_exploration3,113.37,169.05
SARSA_linear_exploration4,115.04,171.64
Expected_SARSA_linear_exploration3,119.27,175.89
Q_learning_oscillating_exploration1,112.79,168.54
Q_learning_TD0_test,112.22,175.56
Q_learning_TD0_test,110.28,181.61
SARSA_TD0_test,13.62,71.42
SARSA_TD0_test,10.25,74.31
Expected_SARSA_TD_test,37.66,45.4
Q_learning_TD0_test,116.05,168.48
Expected_SARSA_TD_test,113.26,178.54
Q_learning_TD0_test,104.94,165.2
Expected_SARSA_TD1_test,105.23,170.27
Q_learning_TD0_test1,114.88,172.44
Expected_SARSA_TD1_test,103.9,172.39
DOUBLE_Q_Learning_le_TD0_test,24.93,95.27
Expected_SARSA_TD1_test1,103.55,161.35
Q_learning_TD1_test1,113.34,161.65
DOUBLE_Q_Learning_le_TD0_test1,46.15,85.11
DOUBLE_Q_Learning_le_TD0_test1,23.74,82.92
DOUBLE_Q_Learning_le_TD0_test0,121.81,170.13
DOUBLE_Q_Learning_le_TD0_test0,5.22,64.05
DOUBLE_Q_Learning_le_TD0_test0,8.32,65.97
DOUBLE_Q_Learning_le_TD0_test0,7.32,62.58
